City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Huntsville,US,34.7304,-86.5861,75.81,89,0,1.01,clear sky
144,Bluff,NZ,-46.6,168.3333,46.8,79,11,4.74,few clouds
145,Jhang,PK,33.6748,72.6963,88.61,43,0,0.51,clear sky
146,Adrar,MR,20.5022,-10.0711,84.34,34,61,20.15,broken clouds
147,Shakhtinsk,KZ,49.71,72.5872,76.35,24,0,14.18,clear sky
148,Beni Mazar,EG,28.4962,30.8029,79.21,50,0,7.94,clear sky
149,Cabo San Lucas,MX,22.8909,-109.9124,79.52,89,26,1.01,scattered clouds
150,Victoria,HK,22.2855,114.1577,89.96,71,90,8.99,overcast clouds
151,Port Augusta,AU,-32.5,137.7667,62.64,50,0,19.24,clear sky
152,Kirkenes,NO,69.7271,30.0458,43.02,75,0,10.36,clear sky
153,Cidreira,BR,-30.1811,-50.2056,61.66,78,100,3.29,overcast clouds
154,Provideniya,RU,64.3833,-173.3,42.46,93,100,14.32,light rain
155,San Patricio,US,28.017,-97.5169,82.26,73,0,5.46,clear sky
156,Porto Novo,BJ,6.4965,2.6036,75.83,89,100,3.27,overcast clouds
157,Saint-Joseph,RE,-21.3667,55.6167,75.58,72,33,14.47,scattered clouds
158,Vila Velha,BR,-20.3297,-40.2925,70.95,88,100,4.0,overcast clouds
159,Leningradskiy,RU,69.3833,178.4167,31.62,90,83,10.54,broken clouds
160,Kobelyaky,UA,49.1489,34.1965,53.28,73,62,13.13,broken clouds
161,Vestmanna,FO,62.1564,-7.1664,50.92,100,100,9.22,fog
162,Prince Rupert,CA,54.3161,-130.3201,55.63,77,100,1.05,overcast clouds
163,Parga,GR,39.2831,20.3964,73.13,43,0,1.86,clear sky
164,Kapaa,US,22.0752,-159.319,79.11,81,7,3.0,clear sky
165,Xiaoweizhai,CN,26.1903,107.5125,81.03,55,90,4.12,overcast clouds
166,Cuamba,MZ,-14.8031,36.5372,80.28,44,5,8.55,clear sky
167,Longyearbyen,SJ,78.2186,15.6401,35.44,75,40,29.93,scattered clouds
168,Cherskiy,RU,68.75,161.3,42.96,56,100,28.48,overcast clouds
169,Sarangani,PH,5.4033,125.4636,84.13,66,100,2.42,overcast clouds
170,Vieste,IT,41.8825,16.175,67.66,48,0,9.31,clear sky
171,Korla,CN,41.7597,86.1469,84.88,14,15,7.49,few clouds
172,Lorengau,PG,-2.0226,147.2712,83.32,71,82,4.12,broken clouds
173,Pyay,MM,18.8167,95.2167,87.21,72,66,4.9,broken clouds
174,Geraldton,AU,-28.7667,114.6,70.21,60,2,11.5,clear sky
175,Caravelas,BR,-17.7125,-39.2481,71.15,93,39,7.14,scattered clouds
176,Komsomolskiy,UZ,40.4272,71.7189,84.92,23,7,6.91,clear sky
177,Miri,MY,4.4148,114.0089,83.19,71,100,7.92,overcast clouds
178,Fortuna,US,40.5982,-124.1573,57.97,89,100,1.7,overcast clouds
179,Mizusawa,JP,39.1333,141.1333,64.62,60,12,6.13,few clouds
180,Riyadh,SA,24.6877,46.7219,93.34,26,45,8.9,scattered clouds
181,Chuy,UY,-33.6971,-53.4616,48.34,83,98,5.55,overcast clouds
182,Kruisfontein,ZA,-34.0033,24.7314,60.49,56,0,8.57,clear sky
183,Heihe,CN,50.2441,127.4902,57.78,43,100,0.98,overcast clouds
184,Iqaluit,CA,63.7506,-68.5145,40.69,93,100,2.15,overcast clouds
185,Ilhabela,BR,-23.7781,-45.3581,66.88,87,97,4.41,overcast clouds
186,Belmonte,BR,-15.8631,-38.8828,72.5,90,98,7.96,overcast clouds
187,Man,CI,7.4125,-7.5538,70.2,99,100,2.59,light rain
188,Georgetown,MY,5.4112,100.3354,87.73,62,40,5.75,scattered clouds
189,Tuatapere,NZ,-46.1333,167.6833,48.88,81,73,1.92,broken clouds
190,Iracoubo,GF,5.4802,-53.2011,76.55,89,100,9.28,overcast clouds
191,Port Hardy,CA,50.6996,-127.4199,53.47,66,10,2.01,clear sky
192,Thinadhoo,MV,0.5333,72.9333,81.81,71,4,3.11,clear sky
193,Tucuman,AR,-26.8241,-65.2226,53.6,94,100,2.3,overcast clouds
194,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,72.07,85,6,1.12,clear sky
195,Holetown,BB,13.1867,-59.6381,82.96,80,32,22.06,scattered clouds
196,Praia,CV,14.9215,-23.5087,75.74,83,40,9.22,scattered clouds
197,Upernavik,GL,72.7868,-56.1549,34.43,80,99,13.09,overcast clouds
198,Rio Grande,BR,-32.035,-52.0986,56.28,78,100,7.49,overcast clouds
199,Nizwa,OM,22.9333,57.5333,95.95,24,3,5.46,clear sky
200,Fort Nelson,CA,58.8053,-122.7002,48.16,55,21,3.18,few clouds
201,Hasaki,JP,35.7333,140.8333,72.28,69,63,20.94,broken clouds
202,Bonito,BR,-21.1211,-56.4819,67.91,99,34,3.67,scattered clouds
203,Pundaguitan,PH,6.3711,126.1689,84.9,66,95,5.61,overcast clouds
204,Namibe,AO,-15.1961,12.1522,67.28,77,86,4.61,overcast clouds
205,Northam,GB,51.0333,-4.2167,54.39,94,37,6.26,scattered clouds
206,Along,IN,28.1667,94.7667,82.15,90,67,3.04,broken clouds
207,Malinovskiy,RU,61.1953,62.8397,59.99,54,3,15.1,clear sky
208,Gizo,SB,-8.103,156.8419,75.76,92,100,4.54,moderate rain
209,Luderitz,NA,-26.6481,15.1594,68.47,29,7,13.33,clear sky
210,Pitsunda,GE,43.1592,40.3378,64.58,88,100,9.93,heavy intensity rain
211,La Palma,US,33.8464,-118.0467,70.41,79,0,1.99,clear sky
212,Palmer,US,42.1584,-72.3287,59.99,86,0,0.0,clear sky
213,Portland,US,45.5234,-122.6762,67.41,66,5,7.0,clear sky
