City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
275,Nobres,BR,79.25,clear sky,-14.7203,-56.3275,Hotel Portal Nobres
277,Abu Samrah,SY,78.6,clear sky,35.3029,37.1841,
280,Emerald,AU,77.34,scattered clouds,-23.5333,148.1667,The Irish Village
282,Guerrero Negro,MX,71.51,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
283,Nouadhibou,MR,73.62,broken clouds,20.931,-17.0347,El Medina
285,San-Pedro,CI,74.62,overcast clouds,4.7485,-6.6363,Hotel Maria
286,San,ML,72.63,light rain,13.3034,-4.8956,Hôtel Teriya
287,Abha,SA,75.45,clear sky,18.2164,42.5053,Abha Hotel
288,Senanga,ZM,78.21,scattered clouds,-16.1167,23.2667,Zango lodge
289,Sao Filipe,CV,77.74,clear sky,14.8961,-24.4956,Hotel Xaguate
290,Cururupu,BR,77.63,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
291,Cayenne,GF,73.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
293,Puerto Del Rosario,ES,73.15,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
295,Plettenberg Bay,ZA,64.04,clear sky,-34.0527,23.3716,Thanda Vista B&B
296,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
297,Redding,US,64.17,scattered clouds,40.5865,-122.3917,Redding Inn & Suites
298,Boa Vista,BR,73.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
300,Tambacounda,SN,74.84,overcast clouds,13.7539,-13.7586,
305,Coahuayana,MX,74.75,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
306,Sola,VU,79.11,overcast clouds,-13.8833,167.55,Leumerus Bungalows
307,Vaitape,PF,78.96,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
308,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
311,Belem De Sao Francisco,BR,68.79,clear sky,-8.7539,-38.9658,Village Hotel
312,Barra Do Corda,BR,73.8,scattered clouds,-5.5,-45.25,Belchior Palace Hotel
314,Senador Pompeu,BR,70.97,few clouds,-5.5881,-39.3717,Pousada Ki-Delicia
