City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Katsuura,JP,2022-09-20 21:29:07,35.1333,140.3,66.76,85,100,18.45
114,Thompson,CA,2022-09-20 21:26:48,55.7435,-97.8558,46.56,76,100,9.22
115,Seddon,AU,2022-09-20 21:29:07,-37.8068,144.8916,59.2,82,0,0.0
116,Quelimane,MZ,2022-09-20 21:29:08,-17.8786,36.8883,78.75,73,0,13.8
117,Lata,PT,2022-09-20 21:29:08,40.1629,-8.3327,71.92,85,53,2.64
118,Vanimo,PG,2022-09-20 21:29:09,-2.6741,141.3028,76.68,87,100,4.88
119,Cape Town,ZA,2022-09-20 21:25:13,-33.9258,18.4232,63.37,69,0,5.75
120,Bredasdorp,ZA,2022-09-20 21:29:09,-34.5322,20.0403,50.86,91,0,1.39
121,Haines Junction,CA,2022-09-20 21:29:10,60.7522,-137.5108,62.55,45,100,2.3
122,Butaritari,KI,2022-09-20 21:29:10,3.0707,172.7902,81.0,76,95,11.92
123,Santa Cruz Cabralia,BR,2022-09-20 21:29:11,-16.2781,-39.0247,75.43,78,20,8.05
124,Springhill,US,2022-09-20 21:29:11,33.006,-93.4668,94.89,31,0,4.43
125,Alice Springs,AU,2022-09-20 21:29:11,-23.7,133.8833,57.22,26,2,3.44
126,Wilkes-Barre,US,2022-09-20 21:29:12,41.2459,-75.8813,75.94,72,75,8.05
127,Orodara,BF,2022-09-20 21:29:12,10.9492,-4.9342,69.03,99,100,4.05
128,La Palma,US,2022-09-20 21:29:13,33.8464,-118.0467,89.87,61,20,12.66
129,Hammerfest,NO,2022-09-20 21:29:13,70.6634,23.6821,43.25,75,100,13.8
130,Grindavik,IS,2022-09-20 21:29:14,63.8424,-22.4338,49.95,100,75,8.05
131,Shahrud,IR,2022-09-20 21:29:14,36.4182,54.9763,66.85,33,0,2.91
132,Abashiri,JP,2022-09-20 21:29:15,44.0213,144.2697,52.0,70,99,6.62
133,Lavrentiya,RU,2022-09-20 21:29:15,65.5833,-171.0,39.34,70,14,5.21
